"Spell name","Spell School","V","S","M","AF","DF","XP","Rulebook name","Edition"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/obscuring-mist--2414/""; ""Obscuring Mist"")","Conjuration","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/omen-of-peril--679/""; ""Omen of Peril"")","Divination","yes","no","no","yes","no","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/pass-without-trace--2850/""; ""Pass Without Trace"")","Transmutation","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/produce-flame--2641/""; ""Produce Flame"")","Evocation","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/races-of-the-wild--84/raptors-sight--3117/""; ""Raptor's Sight"")","Transmutation","yes","yes","no","no","yes","no","Races of the Wild","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/sandblast--709/""; ""Sandblast"")","Evocation","yes","yes","no","no","yes","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/shillelagh--2871/""; ""Shillelagh"")","Transmutation","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/speak-with-animals--2515/""; ""Speak With Animals"")","Divination","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-scoundrel--60/spore-field--918/""; ""Spore Field"")","Transmutation","yes","yes","no","no","yes","no","Complete Scoundrel","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/summon-natures-ally-i--2450/""; ""Summon Nature's Ally I"")","Conjuration","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/travelers-mount--754/""; ""Traveler's Mount"")","Transmutation","yes","yes","no","no","no","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/vigor-lesser--667/""; ""Vigor, Lesser"")","Conjuration","yes","yes","no","no","no","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-adventurer--54/vine-strike--386/""; ""Vine Strike"")","Divination","yes","no","no","no","yes","no","Complete Adventurer","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-scoundrel--60/winged-watcher--920/""; ""Winged Watcher"")","Transmutation","yes","yes","no","no","no","no","Complete Scoundrel","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/wood-wose--671/""; ""Wood Wose"")","Conjuration","yes","yes","no","no","yes","no","Complete Divine","Supplementals (3.5)"
