"Spell name","Spell School","V","S","M","AF","DF","XP","Rulebook name","Edition"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/chill-metal--2793/""; ""Chill Metal"")","Transmutation","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/cloudburst--696/""; ""Cloudburst"")","Evocation","yes","yes","no","no","no","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/creeping-cold--738/""; ""Creeping Cold"")","Transmutation","yes","yes","no","yes","no","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-adventurer--54/daggerspell-stance--363/""; ""Daggerspell Stance"")","Abjuration","yes","no","no","yes","no","no","Complete Adventurer","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/decomposition--721/""; ""Decomposition"")","Necromancy","yes","yes","no","no","yes","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/delay-poison--2387/""; ""Delay Poison"")","Conjuration","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-champion--57/divine-presence--620/""; ""Divine Presence"")","Transmutation","yes","yes","no","no","no","no","Complete Champion","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-ii--80/drifts-of-the-shalm--2972/""; ""Drifts of the Shalm"")","Evocation","yes","yes","no","no","no","no","Player's Handbook II","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-adventurer--54/easy-trail--364/""; ""Easy Trail"")","Abjuration","yes","yes","no","no","no","no","Complete Adventurer","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-adventurer--54/embrace-the-wild--418/""; ""Embrace the Wild"")","Transmutation","yes","no","no","no","no","no","Complete Adventurer","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/fire-trap--2320/""; ""Fire Trap"")","Abjuration","yes","yes","yes","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/flame-blade--2613/""; ""Flame Blade"")","Evocation","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/flaming-sphere--2615/""; ""Flaming Sphere"")","Evocation","yes","yes","yes","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/fog-cloud--2393/""; ""Fog Cloud"")","Conjuration","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/gust-of-wind--2618/""; ""Gust of Wind"")","Evocation","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-adventurer--54/healing-lorecall--375/""; ""Healing Lorecall"")","Divination","yes","yes","yes","no","no","no","Complete Adventurer","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-mage--58/heart-of-air--876/""; ""Heart of Air"")","Transmutation","yes","yes","no","no","no","no","Complete Mage","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/heat-metal--2824/""; ""Heat Metal"")","Transmutation","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/hold-animal--2555/""; ""Hold Animal"")","Enchantment","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-champion--57/interfaith-blessing--609/""; ""Interfaith Blessing"")","Enchantment","yes","yes","no","no","yes","no","Complete Champion","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-ii--80/linked-perception--2943/""; ""Linked Perception"")","Divination","yes","no","no","no","yes","no","Player's Handbook II","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-adventurer--54/listening-lorecall--381/""; ""Listening Lorecall"")","Divination","yes","yes","no","no","yes","no","Complete Adventurer","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/races-of-the-dragon--83/local-tremor--3096/""; ""Local Tremor"")","Evocation","yes","yes","no","no","no","no","Races of the Dragon","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-champion--57/metal-fang--626/""; ""Metal Fang"")","Transmutation","yes","yes","no","no","no","no","Complete Champion","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-adventurer--54/natures-favor--402/""; ""Nature's Favor"")","Evocation","yes","yes","no","no","yes","no","Complete Adventurer","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/owls-wisdom--2848/""; ""Owl's Wisdom"")","Transmutation","yes","yes","yes","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/races-of-the-dragon--83/peaceful-serenity-of-io--3075/""; ""Peaceful Serenity of Io"")","Abjuration","yes","no","no","no","no","no","Races of the Dragon","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/reduce-animal--2859/""; ""Reduce Animal"")","Transmutation","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/resist-energy--2357/""; ""Resist Energy"")","Abjuration","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/restoration-lesser--2432/""; ""Restoration, Lesser"")","Conjuration","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/scent--748/""; ""Scent"")","Transmutation","yes","yes","yes","no","no","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-scoundrel--60/smoke-stairs--917/""; ""Smoke Stairs"")","Transmutation","yes","yes","yes","no","no","no","Complete Scoundrel","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/soften-earth-and-stone--2875/""; ""Soften Earth and Stone"")","Transmutation","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-champion--57/soul-ward--592/""; ""Soul Ward"")","Abjuration","yes","yes","no","no","yes","no","Complete Champion","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/spider-climb--2877/""; ""Spider Climb"")","Transmutation","yes","yes","yes","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/races-of-the-wild--84/summon-dire-hawk--3111/""; ""Summon Dire Hawk"")","Conjuration","yes","yes","no","no","yes","no","Races of the Wild","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/summon-natures-ally-ii--2451/""; ""Summon Nature's Ally II"")","Conjuration","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/summon-swarm--2459/""; ""Summon Swarm"")","Conjuration","yes","yes","yes","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-arcane--55/swim--569/""; ""Swim"")","Transmutation","yes","yes","yes","no","no","no","Complete Arcane","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-adventurer--54/train-animal--395/""; ""Train Animal"")","Enchantment","yes","yes","no","no","yes","no","Complete Adventurer","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/tree-shape--2890/""; ""Tree Shape"")","Transmutation","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/warp-wood--2892/""; ""Warp Wood"")","Transmutation","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/wood-shape--2897/""; ""Wood Shape"")","Transmutation","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/races-of-the-wild--84/woodland-veil--3112/""; ""Woodland Veil"")","Illusion","yes","yes","no","no","no","no","Races of the Wild","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-adventurer--54/wracking-touch--408/""; ""Wracking Touch"")","Necromancy","yes","yes","no","no","no","no","Complete Adventurer","Supplementals (3.5)"
